crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2025-03-31T00:00:00Z,09:25:00,QUEENS,11101,40.74466,-73.948524,"
,  
(40.74466, -73.948524)",JACKSON AVE,21 ST,NA,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,NA,NA,NA,4802928,Sedan,Garbage or Refuse,NA,NA,NA
2025-03-31T00:00:00Z,12:30:00,BROOKLYN,11211,40.72005,-73.95535,"
,  
(40.72005, -73.95535)",BEDFORD AVE,N 11 ST,NA,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,NA,NA,NA,4814148,Station Wagon/Sport Utility Vehicle,FIRE TRUCK,NA,NA,NA
2025-03-31T00:00:00Z,16:32:00,MANHATTAN,10021,40.77211,-73.96115,"
,  
(40.77211, -73.96115)",NA,NA,1044      LEXINGTON AVE,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,NA,NA,NA,4813476,Bus,Bike,NA,NA,NA
2025-03-31T00:00:00Z,00:25:00,NA,NA,40.735752,-73.880516,"
,  
(40.735752, -73.880516)",GRAND AVE,VAN HORN ST,NA,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,NA,NA,NA,NA,4808916,Sedan,NA,NA,NA,NA
2025-03-31T00:00:00Z,17:04:00,BRONX,10459,40.831966,-73.89669,"
,  
(40.831966, -73.89669)",JENNINGS ST,PROSPECT AVE,NA,1,0,0,0,0,0,1,0,Unspecified,Unspecified,NA,NA,NA,4807828,Moped,NA,NA,NA,NA
2025-03-31T00:00:00Z,12:15:00,MANHATTAN,10029,40.79609,-73.941895,"
,  
(40.79609, -73.941895)",NA,NA,2060      3 AVE,6,0,0,0,0,0,6,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4806240,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-31T00:00:00Z,15:40:00,MANHATTAN,10016,40.747295,-73.974045,"
,  
(40.747295, -73.974045)",2 AVE,E 38 ST,NA,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,NA,NA,NA,4805935,Station Wagon/Sport Utility Vehicle,Bike,NA,NA,NA
2025-03-31T00:00:00Z,20:09:00,BROOKLYN,11208,40.66907,-73.85874,"
,  
(40.66907, -73.85874)",NA,NA,573       EMERALD ST,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,NA,NA,4805426,Sedan,Sedan,Sedan,NA,NA
2025-03-31T00:00:00Z,01:26:00,NA,NA,40.8387,-73.93335,"
,  
(40.8387, -73.93335)",HARLEM RIVER DR,HARLEM RIVER DRIVE EXIT 24 NB,NA,1,0,0,0,0,0,1,0,Alcohol Involvement,NA,NA,NA,NA,4805097,Motorcycle,NA,NA,NA,NA
2025-03-31T00:00:00Z,20:00:00,QUEENS,11370,40.760044,-73.89755,"
,  
(40.760044, -73.89755)",70 ST,30 AVE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4805331,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
